english_name,chinese_name
"HONG KONG & KOWLOON KAIFONG WOMEN'S ASSOCIATION SUN FONG CHUNG KINDERGARTEN","港九街坊婦女會孫方中幼稚園"
"HONG KONG & KOWLOON KAIFONG WOMEN'S ASSOCIATION SUN FONG CHUNG KINDERGARTEN (SUI WO COURT)","港九街坊婦女會孫方中幼稚園（穗禾苑）"
"HONG KONG & KOWLOON KAIFONG WOMEN'S ASSOCIATION TING SUN HUI CHIU KINDERGARTEN","港九街坊婦女會丁孫慧珠幼稚園"
"HONG KONG & KOWLOON KAIFONG WOMEN'S ASSOCIATION TING YUK CHEE KINDERGARTEN","港九街坊婦女會丁毓珠幼稚園"
"HONG KONG & KOWLOON KAIFONG WOMEN'S ASSOCIATION WAN TSUI KINDERGARTEN","港九街坊婦女會環翠幼稚園"
"HONG KONG (ASCOT) PRESCHOOL","樂基幼兒學校(駿景園)"
"HONG KONG 5-S KINDERGARTEN","香港五常法幼稚園"
"HONG KONG ACADEMY","香港學堂國際學校"
"HONG KONG ADVENTIST ACADEMY","香港復臨學校"
"HONG KONG AND KOWLOON KAIFONG WOMEN'S ASSOCIATION SUN FONG CHUNG COLLEGE","港九街坊婦女會孫方中書院"
"HONG KONG AND KOWLOON KAIFONG WOMEN'S ASSOCIATION SUN FONG CHUNG PRIMARY SCHOOL","港九街坊婦女會孫方中小學"
"HONG KONG AND MACAU LUTHERAN CHURCH MING TAO PRIMARY SCHOOL","港澳信義會明道小學"
"HONG KONG AND MACAU LUTHERAN CHURCH PRIMARY SCHOOL","港澳信義會小學"
"HONG KONG AND MACAU LUTHERAN CHURCH QUEEN MAUD SECONDARY SCHOOL","港澳信義會慕德中學"
"HONG KONG AND MACAU LUTHERAN CHURCH SHEK ON MEMORIAL KINDERGARTEN","港澳信義會錫安紀念幼稚園"
"HONG KONG AND MACAU LUTHERAN CHURCH WONG CHAN SOOK YING MEMORIAL SCHOOL","港澳信義會黃陳淑英紀念學校"
"HONG KONG BAPTIST CONVENTION PRIMARY SCHOOL","香港浸信會聯會小學"
"HONG KONG BAPTIST UNIVERSITY AFFILIATED SCHOOL WONG KAM FAI SECONDARY AND PRIMARY SCHOOL","香港浸會大學附屬學校王錦輝中小學"
"HONG KONG BLUEBELL COLLEGE","香港紫荊書院"
"HONG KONG CHINESE WOMEN'S CLUB COLLEGE","香港中國婦女會中學"
"HONG KONG CHRISTIAN SERVICE CENTRAL NURSERY SCHOOL","香港基督教服務處雋匯幼兒學校"
"HONG KONG CHRISTIAN SERVICE KWUN TONG NURSERY SCHOOL","香港基督教服務處觀塘幼兒學校"
"HONG KONG CHRISTIAN SERVICE LEI CHENG UK NURSERY SCHOOL","香港基督教服務處李鄭屋幼兒學校"
"HONG KONG CHRISTIAN SERVICE PARIO KINDERGARTEN","香港基督教服務處雋樂幼稚園"
"HONG KONG CHRISTIAN SERVICE PARIO KINDERGARTEN (SHATIN)","香港基督教服務處雋樂幼稚園(沙田)"
"HONG KONG CHRISTIAN SERVICE PARIO NURSERY SCHOOL (TAI PO)","香港基督教服務處雋樂幼兒學校(大埔)"
"HONG KONG CHRISTIAN SERVICE PUI OI SCHOOL (PRIMARY SECTION)","香港基督教服務處培愛學校(小學部)"
"HONG KONG CHRISTIAN SERVICE PUI OI SCHOOL (SECONDARY SECTION)","香港基督教服務處培愛學校(中學部)"
"HONG KONG CHRISTIAN SERVICE SHEK KIP MEI NURSERY SCHOOL","香港基督教服務處石硤尾幼兒學校"
"HONG KONG CHRISTIAN SERVICE TAI HANG TUNG NURSERY SCHOOL","香港基督教服務處大坑東幼兒學校"
"HONG KONG CHRISTIAN SERVICE TIN HENG NURSERY SCHOOL","香港基督教服務處天恒幼兒學校"
"HONG KONG INSTITUTE OF CONTEMPORARY CULTURE LEE SHAU KEE SCHOOL OF CREATIVITY","香港兆基創意書院(李兆基基金會贊助、香港當代文化中心主辦)"
"HONG KONG INTERNATIONAL SCHOOL","香港國際學校"
"HONG KONG JUVENILE CARE CENTRE CHAN NAM CHEONG MEMORIAL SCHOOL","香港青少年培育會陳南昌紀念學校"
"HONG KONG KINDERGARTEN ASSOCIATION PRE-SCHOOL","香港幼稚園協會幼兒學校"
"HONG KONG LING LIANG CHURCH KINDERGARTEN","香港靈糧堂幼稚園"
"HONG KONG LING LIANG CHURCH SAU TAK KINDERGARTEN","香港靈糧堂秀德幼稚園"
"HONG KONG LING LIANG CHURCH SAU TAK KINDERGARTEN(CAMPUS 2)","香港靈糧堂秀德幼稚園(二校)"
"HONG KONG LING LIANG CHURCH TSUEN WAN KINDERGARTEN","香港靈糧堂荃灣幼稚園"
"HONG KONG LUTHERAN CHURCH KWUN TONG KINDERGARTEN","香港路德會觀塘幼稚園"
"HONG KONG MAN SANG KINDERGARTEN (NORTH POINT)","香港民生幼稚園(北角)"
"HONG KONG MAN SANG KINDERGARTEN (WESTERN DISTRICT)","香港民生幼稚園(西區)"
"HONG KONG NOBEL PRESCHOOL","樂沛兒幼稚園"
"HONG KONG NOBEL PRESCHOOL - CHAI WAN","樂沛兒幼稚園 — 柴灣"
"HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION)","香港紅十字會醫院學校(小學部)"
"HONG KONG RED CROSS HOSPITAL SCHOOLS (SECONDARY SECTION)","香港紅十字會醫院學校(中學部)"
"HONG KONG RED CROSS JOHN F. KENNEDY CENTRE (PRIMARY SECTION)","香港紅十字會甘迺迪中心(小學部)"
"HONG KONG RED CROSS JOHN F. KENNEDY CENTRE (SECONDARY SECTION)","香港紅十字會甘迺迪中心(中學部)"
"HONG KONG RED CROSS MARGARET TRENCH SCHOOL (PRIMARY SECTION)","香港紅十字會瑪嘉烈戴麟趾學校(小學部)"
"HONG KONG RED CROSS MARGARET TRENCH SCHOOL (SECONDARY SECTION)","香港紅十字會瑪嘉烈戴麟趾學校(中學部)"
"HONG KONG RED CROSS PRINCESS ALEXANDRA SCHOOL (PRIMARY SECTION)","香港紅十字會雅麗珊郡主學校(小學部)"
"HONG KONG RED CROSS PRINCESS ALEXANDRA SCHOOL (SECONDARY SECTION)","香港紅十字會雅麗珊郡主學校(中學部)"
"HONG KONG RED SWASTIKA SOCIETY TAI PO SECONDARY SCHOOL","香港紅卍字會大埔卍慈中學"
"HONG KONG RED SWASTIKA SOCIETY TUEN MUN PRIMARY SCHOOL","香港紅卍字會屯門卍慈小學"
"HONG KONG SEA SCHOOL","香港航海學校"
"HONG KONG SHENG KUNG HUI BISHOP HALL SECONDARY SCHOOL","香港聖公會何明華會督中學"
"HONG KONG SHENG KUNG HUI HA SUI WAN NURSERY SCHOOL","香港聖公會夏瑞芸幼兒學校"
"HONG KONG SHENG KUNG HUI KEI OI NURSERY SCHOOL","香港聖公會基愛幼兒學校"
"HONG KONG SHENG KUNG HUI LADY MACLEHOSE CENTRE (SHEK YAM) KINDERGARTEN","香港聖公會麥理浩夫人中心〈石蔭〉幼稚園"
"HONG KONG SHENG KUNG HUI LADY MACLEHOSE CENTRE KINDERGARTEN","香港聖公會麥理浩夫人中心幼稚園"
"HONG KONG SHENG KUNG HUI ST. SIMON'S LEUNG KING NURSERY SCHOOL","香港聖公會聖西門良景幼兒學校"
"HONG KONG SHENG KUNG HUI ST. SIMON'S SAI KUNG NURSERY SCHOOL","香港聖公會聖西門西貢幼兒學校"
"HONG KONG SHENG KUNG HUI ST. SIMON'S TAI HING NURSERY SCHOOL","香港聖公會聖西門大興幼兒學校"
"HONG KONG SHENG KUNG HUI THE CHURCH OF THE EPIPHANY KINDERGARTEN","香港聖公會基督顯現堂幼稚園"
"HONG KONG SHENG KUNG HUI TUNG CHUNG NURSERY SCHOOL","香港聖公會東涌幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN BOC NURSERY SCHOOL","香港保護兒童會中銀幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN BUTTERFLY ESTATE NURSERY SCHOOL","香港保護兒童會蝴蝶邨幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN CHEUNG SHA WAN NURSERY SCHOOL","香港保護兒童會長沙灣幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN HONG KONG BANK FOUNDATION NURSERY SCHOOL","香港保護兒童會滙豐銀行慈善基金幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN LAM WOO NURSERY SCHOOL","香港保護兒童會林護幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN MA TAU CHUNG NURSERY SCHOOL","香港保護兒童會馬頭涌幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN MR & MRS THOMAS TAM NURSERY SCHOOL","香港保護兒童會譚雅士伉儷幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN OCEAN SHORES NURSERY SCHOOL","香港保護兒童會維景灣幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN OPERATION SANTA CLAUS FANLING NURSERY SCHOOL","香港保護兒童會聖誕老人愛心粉嶺幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN PARK'N SHOP STAFF CHARITABLE FUND NURSERY SCHOOL","香港保護兒童會百佳員工慈善基金幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN PORTLAND STREET NURSERY SCHOOL","香港保護兒童會砵蘭街幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN SHAM TSENG NURSERY SCHOOL","香港保護兒童會深井幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN SIA WHAMPOA NURSERY SCHOOL","香港保護兒童會新航黃埔幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN SZE WU SHU MIN NURSERY SCHOOL","香港保護兒童會施吳淑敏幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN THE JOCKEY CLUB HOK SAM NURSERY SCHOOL","香港保護兒童會賽馬會學心幼兒學校"
"HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN THOMAS TAM NURSERY SCHOOL","香港保護兒童會譚雅士幼兒學校"
"HONG KONG SOKA KINDERGARTEN","香港創價幼稚園"
"HONG KONG SOUTHERN DISTRICT GOVERNMENT PRIMARY SCHOOL","香港南區官立小學"
"HONG KONG STUDENT AID SOCIETY PO TAT NURSERY","香港學生輔助會寶達幼稚園"
"HONG KONG TANG KING PO COLLEGE","香港鄧鏡波書院"
"HONG KONG TAOIST ASSOCIATION FUNG YING TUNG SIN QUEEN'S HILL KINDERGARTEN","香港道教聯合會蓬瀛通善皇后山幼稚園"
"HONG KONG TAOIST ASSOCIATION SHUN YEUNG PRIMARY SCHOOL","香港道教聯合會純陽小學"
"HONG KONG TAOIST ASSOCIATION TANG HIN MEMORIAL SECONDARY SCHOOL","香港道教聯合會鄧顯紀念中學"
"HONG KONG TAOIST ASSOCIATION THE YUEN YUEN INSTITUTE CHAN LUI CHUNG TAK MEMORIAL SCHOOL","香港道教聯合會圓玄學院陳呂重德紀念學校"
"HONG KONG TAOIST ASSOCIATION THE YUEN YUEN INSTITUTE NO.1 SECONDARY SCHOOL","香港道教聯合會圓玄學院第一中學"
"HONG KONG TAOIST ASSOCIATION THE YUEN YUEN INSTITUTE NO.2 SECONDARY SCHOOL","香港道教聯合會圓玄學院第二中學"
"HONG KONG TAOIST ASSOCIATION THE YUEN YUEN INSTITUTE SHEK WAI KOK PRIMARY SCHOOL","香港道教聯合會圓玄學院石圍角小學"
"HONG KONG TAOIST ASSOCIATION WUN TSUEN NG LAI WO MEMORIAL SCHOOL","香港道教聯合會雲泉吳禮和紀念學校"
"HONG KONG TAOIST ASSOCIATION WUN TSUEN SCHOOL","香港道教聯合會雲泉學校"
"HONG KONG TAOIST ASSOCIATION YUEN YUEN KINDERGARTEN","香港道教聯合會圓玄幼稚園"
"HONG KONG TAOIST ASSOCIATION YUEN YUEN KINDERGARTEN (FU SHIN ESTATE)","香港道教聯合會圓玄幼稚園(富善邨)"
"HONG KONG TAOIST ASSOCIATION YUEN YUEN KINDERGARTEN (TUNG TAU ESTATE)","香港道教聯合會圓玄幼稚園(東頭邨)"
"HONG KONG TEACHERS' ASSOCIATION EVENING SECONDARY SCHOOL","香港教師會夜中學"
"HONG KONG TEACHERS' ASSOCIATION LEE HENG KWEI SECONDARY SCHOOL","香港教師會李興貴中學"
"HONG KONG TRUE LIGHT COLLEGE","香港真光書院"
"HONG KONG TRUE LIGHT KINDERGARTEN (CAINE ROAD)","香港真光幼稚園（堅道）"
"HONG KONG WEAVING MILLS ASSOCIATION CHU SHEK LUN SECONDARY SCHOOL","香港布廠商會朱石麟中學"
"HONG KONG Y.W.C.A ATHENA KINDERGARTEN","香港基督教女青年會宏恩幼稚園"
"HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION CHIU OI WAH NURSERY SCHOOL","香港基督教女青年會趙靄華幼兒學校"
"HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION CHOI WAN NURSERY SCHOOL","香港基督教女青年會彩雲幼兒學校"
"HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION FAITH HOPE NURSERY SCHOOL","香港基督教女青年會信望幼兒學校"
"HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION HELEN LEE KINDERGARTEN","香港基督教女青年會趣沂幼稚園"
"HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION LUNG HANG NURSERY SCHOOL","香港基督教女青年會隆亨幼兒學校"
"HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION ON TING NURSERY SCHOOL","香港基督教女青年會安定幼兒學校"
"HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION SHIU PONG NURSERY SCHOOL","香港基督教女青年會紹邦幼兒學校"
"HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION TAI HON FAN NURSERY SCHOOL","香港基督教女青年會戴翰芬幼兒學校"
"HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION TSING YI NURSERY SCHOOL","香港基督教女青年會青衣幼兒學校"
"HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION TSUEN WAN NURSERY SCHOOL","香港基督教女青年會荃灣幼兒學校"
"HONG YING ANGLO-CHINESE KINDERGARTEN","康盈中英文幼稚園"
"HONGKONG JAPANESE SCHOOL","香港日本語學校"
"HONGKONG LIMAI SCHOOL","香港力邁學校"
"HOP YAT CHURCH CHAN PAK WANG MEMORIAL KINDERGARTEN","合一堂陳伯宏紀念幼稚園"
"HOP YAT CHURCH SCHOOL","合一堂學校"
"HOP YAT CHURCH SHIN KA CHUEN MEMORIAL KINDERGARTEN","合一堂單家傳紀念幼稚園"
"HOTUNG SECONDARY SCHOOL","何東中學"
"IBEL RUSY AND PURVIZ SHROFF CHARITABLE FOUNDATION KINDERGARTEN","匯成勞士施羅孚伉儷慈善基金幼稚園"
"IMMACULATE HEART OF MARY COLLEGE","聖母無玷聖心書院"
"IMMACULATE HEART OF MARY KINDERGARTEN","聖母無玷聖心幼稚園"
"IMMACULATE HEART OF MARY SCHOOL","聖母無玷聖心學校"
"IMPERIAL CHILDREN KINDERGARTEN","茵晴幼稚園"
"INTERNATIONAL CHRISTIAN QUALITY MUSIC SECONDARY AND PRIMARY SCHOOL","國際基督教優質音樂中學暨小學"
"INTERNATIONAL CHRISTIAN SCHOOL","基督教國際學校"
"INTERNATIONAL CHRISTIAN SCHOOL - KINDERGARTEN","基督教國際學校－幼稚園"
"INTERNATIONAL COLLEGE HONG KONG (NEW TERRITORIES)","香港國際學院（新界）"
"INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (KINDERGARTEN SECTION)","香港國際學院康樂園（幼稚園部）"
"INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (PRIMARY SECTION)","香港國際學院康樂園（小學部）"
"INVICTUS KINDERGARTEN","因維克圖斯幼稚園"
"INVICTUS SCHOOL","不敗學校"
"INVICTUS SECONDARY SCHOOL","因維克圖斯中學"
"ISLAMIC DHARWOOD PAU MEMORIAL PRIMARY SCHOOL","伊斯蘭鮑伯濤紀念小學"
"ISLAMIC KASIM TUET MEMORIAL COLLEGE","伊斯蘭脫維善紀念中學"
"ISLAMIC POK OI KINDERGARTEN","伊斯蘭博愛幼稚園"
"ISLAMIC PRIMARY SCHOOL","伊斯蘭學校"
"ISLAND CHILDREN'S MONTESSORI KINDERGARTEN","港島兒童蒙特梭利幼稚園"
"ISLAND MONTESSORI INTERNATIONAL KINDERGARTEN","港島蒙特梭利國際幼稚園"
"ISLAND SCHOOL","島嶼學校"
"ISLAND WALDORF SCHOOL","香島華德福學校"
"ITALIAN INTERNATIONAL KINDERGARTEN","意大利國際幼稚園"
"IU SHAN SCHOOL","耀山學校"
"JADE KINDERGARTEN","殷翠幼稚園"
"JAMES ANGLO-CHINESE KINDERGARTEN (SHAM SHUI PO)","雅各中英文幼稚園（深水埗校）"
"JAPANESE INTERNATIONAL SCHOOL","日本國際學校"
"JING JING ANGLO-CHINESE KINDERGARTEN (HUNG SHUI KIU BRANCH)","晶晶中英文幼稚園﹝洪水橋分校﹞"
"JING JING INTERNATIONAL KINDERGARTEN","晶晶國際幼稚園"
"JING JING KINDERGARTEN (SHUN LEE BRANCH)","晶晶幼稚園（順利分校）"
"JING JING KINDERGARTEN (TUEN MUN BRANCH)","晶晶幼稚園（屯門校）"
"JOCKEY CLUB GOVERNMENT SECONDARY SCHOOL","賽馬會官立中學"
"JOCKEY CLUB MAN KWAN EDUYOUNG COLLEGE","賽馬會萬鈞毅智書院"
"JOCKEY CLUB SARAH ROE SCHOOL","賽馬會善樂學校"
"JOCKEY CLUB TI-I COLLEGE","賽馬會體藝中學"
"JONATHAN INNOVATIVE ENGLISH KINDERGARTEN","永樂創新英文幼稚園"
"JORDAN ROAD GOVERNMENT PRIMARY SCHOOL","佐敦道官立小學"
"JORDAN VALLEY ST. JOSEPH'S CATHOLIC PRIMARY SCHOOL","佐敦谷聖若瑟天主教小學"
"JOYFUL WORLD INTERNATIONAL KINDERGARTEN (TUEN MUN)","心怡天地國際幼稚園(屯門)"
"JOYFUL WORLD INTERNATIONAL KINDERGARTEN (YUEN LONG)","心怡天地國際幼稚園(元朗)"
"JOYFUL WORLD KINDERGARTEN","心怡天地幼稚園"
"JOYFUL WORLD KINDERGARTEN (BELVEDERE)","心怡天地幼稚園（麗城）"
"JOYFUL WORLD KINDERGARTEN (SHA TIN)","心怡天地幼稚園(沙田)"
"JU CHING CHU SECONDARY SCHOOL (KWAI CHUNG)","裘錦秋中學(葵涌)"
"JU CHING CHU SECONDARY SCHOOL (TUEN MUN)","裘錦秋中學﹝屯門﹞"
"JU CHING CHU SECONDARY SCHOOL (YUEN LONG)","裘錦秋中學(元朗)"
"JUNK BAY KINGSLAND KINDERGARTEN","將軍澳英皇幼稚園"
"KA FUK BAPTIST CHURCH PRE-SCHOOL","嘉福浸信會幼稚園"
"KA LING SCHOOL OF THE PRECIOUS BLOOD","寶血會嘉靈學校"
"KAM LAM CATHOLIC KINDERGARTEN","天主教甘霖幼稚園"
"KAM TIN MUNG YEUNG PUBLIC SCHOOL","錦田公立蒙養學校"
"KAM TSIN VILLAGE HO TUNG KINDERGARTEN","金錢村何東幼稚園"
"KAM TSIN VILLAGE HO TUNG SCHOOL","金錢村何東學校"
"KARLAM ANGLO-CHINESE KINDERGARTEN","珈琳中英文幼稚園"
"KARLAM KINDERGARTEN (TUEN MUN BRANCH)","珈琳幼稚園(屯門分校)"
"KAU YAN COLLEGE","救恩書院"
"KAU YAN SCHOOL","救恩學校"
"KEEN MIND KINDERGARTEN","劍鳴幼稚園"
"KELLETT SCHOOL","凱力學校"
"KENDALL INTERNATIONAL PRESCHOOL","漢迪國際幼稚園"
"KENDALL INTERNATIONAL PRESCHOOL (ISLAND EAST)","漢廸國際幼稚園(港島東)"
"KENNEDY SCHOOL","堅尼地學校"
"KENTVILLE KINDERGARTEN","根德園幼稚園"
"KHALSA DIWAN KINDERGARTEN","卡莎迪曼幼稚園"
"KIANGSU & CHEKIANG PRIMARY SCHOOL","蘇浙小學校"
"KIANGSU-CHEKIANG COLLEGE","蘇浙公學"
"KIANGSU-CHEKIANG COLLEGE (KWAI CHUNG)","葵涌蘇浙公學"
"KIANGSU-CHEKIANG COLLEGE (SHATIN)","沙田蘇浙公學"
"KIN SANG BAPTIST CHURCH BRADBURY PRE-SCHOOL","建生浸信會白普理幼稚園"
"KIN SANG LUTHERAN KINDERGARTEN","路德會建生幼稚園"
"KING GEORGE V SCHOOL","喬治國王五世學校"
"KING LAM CATHOLIC PRIMARY SCHOOL","景林天主教小學"
"KING LAM LUTHERAN DAY NURSERY","路德會景林幼稚園"
"KING LING COLLEGE","景嶺書院"
"KING'S COLLEGE","英皇書院"
"KING'S COLLEGE OLD BOYS' ASSOCIATION PRIMARY SCHOOL","英皇書院同學會小學"
"KING'S COLLEGE OLD BOYS' ASSOCIATION PRIMARY SCHOOL NO. 2","英皇書院同學會小學第二校"
"KINGSTON INTERNATIONAL KINDERGARTEN","京斯敦國際幼稚園"
"KINGSTON INTERNATIONAL SCHOOL","京斯敦國際學校"
"KIT SAM LAM BING YIM SECONDARY SCHOOL","潔心林炳炎中學"
"KLT FUNFUL ENGLISH PRIMARY SCHOOL","九龍塘方方樂趣英文小學"
"KO LUI SECONDARY SCHOOL","高雷中學"
"KOHITSUJI KINDERGARTEN","小日辻幼稚園"
"KOREAN INTERNATIONAL SCHOOL","韓國國際學校"
"KORNHILL CHRISTIAN ANGLO-CHINESE KINDERGARTEN","基督教康山中英文幼稚園"
"KORNHILL VICTORIA KINDERGARTEN","康怡維多利亞幼稚園"
"KOWLOON BAPTIST CHURCH KINDERGARTEN","九龍浸信會幼稚園"
"KOWLOON BAY ST. JOHN THE BAPTIST CATHOLIC PRIMARY SCHOOL","九龍灣聖若翰天主教小學"
"KOWLOON CANNAN ANGLO-CHINESE KINDERGARTEN","九龍迦南中英文幼稚園"
"KOWLOON CITY BAPTIST CHURCH HAY NIEN (YAN PING) PRIMARY SCHOOL","九龍城浸信會禧年(恩平)小學"
"KOWLOON CITY BAPTIST CHURCH HAY NIEN KINDERGARTEN","九龍城浸信會禧年幼稚園"
"KOWLOON CITY BAPTIST CHURCH HAY NIEN PRIMARY SCHOOL","九龍城浸信會禧年小學"
"KOWLOON CITY BAPTIST CHURCH KA FUK KINDERGARTEN","九龍城浸信會嘉福幼稚園"
"KOWLOON CITY BAPTIST CHURCH KINDERGARTEN","九龍城浸信會幼稚園"
"KOWLOON JUNIOR SCHOOL","九龍小學"
"KOWLOON LING LIANG CHURCH DAY NURSERY","九龍靈糧堂幼稚園"
"KOWLOON LING LIANG CHURCH KINDERGARTEN","九龍靈糧堂幼稚園"
"KOWLOON RHENISH SCHOOL","九龍禮賢學校"
"KOWLOON SAM YUK SECONDARY SCHOOL","九龍三育中學"
"KOWLOON TECHNICAL SCHOOL","九龍工業學校"
"KOWLOON TONG BISHOP WALSH CATHOLIC SCHOOL","九龍塘天主教華德學校"
"KOWLOON TONG GOVERNMENT PRIMARY SCHOOL","九龍塘官立小學"
"KOWLOON TONG SCHOOL","九龍塘學校"
"KOWLOON TONG SCHOOL (SECONDARY SECTION)","九龍塘學校(中學部)"
"KOWLOON TRUE LIGHT SCHOOL","九龍真光中學"
"KOWLOON TRUE LIGHT SCHOOL (KINDERGARTEN SECTION)","九龍真光中學(幼稚園部)"
"KOWLOON TRUE LIGHT SCHOOL (PRIMARY SECTION)","九龍真光中學（小學部）"
"KOWLOON WOMEN'S WELFARE CLUB LI PING MEMORIAL SCHOOL","九龍婦女福利會李炳紀念學校"
"KWAI CHUNG BAPTIST CHURCH KINDERGARTEN","葵涌浸信會幼稚園"
"KWAI CHUNG METHODIST COLLEGE","葵涌循道中學"
"KWAI SHING RHENISH CHURCH KINDERGARTEN","葵盛禮賢會幼稚園"
"KWAI-MING WU MEMORIAL SCHOOL OF THE PRECIOUS BLOOD","寶血會伍季明紀念學校"
"KWOK MAN SCHOOL","國民學校"
"KWOK MAN SCHOOL ANGLO-CHINESE KINDERGARTEN","國民學校中英文幼稚園"
"KWOK TAK SENG CATHOLIC SECONDARY SCHOOL","天主教郭得勝中學"
"KWONG LAM BAPTIST LUI KWOK PAT FONG KINDERGARTEN","廣林浸信會呂郭碧鳳幼稚園"
"KWONG MING SCHOOL","光明學校"
"KWONG MING YING LOI SCHOOL","光明英來學校"
"KWUN TONG BAPTIST CHURCH CHOI MING KINDERGARTEN","觀塘浸信會彩明幼稚園"
"KWUN TONG BAPTIST CHURCH KINDERGARTEN","官塘浸信會幼稚園"
"KWUN TONG GOVERNMENT PRIMARY SCHOOL","觀塘官立小學"
"KWUN TONG GOVERNMENT PRIMARY SCHOOL (SAU MING ROAD)","觀塘官立小學〈秀明道〉"
"KWUN TONG GOVERNMENT SECONDARY SCHOOL","觀塘官立中學"
"KWUN TONG KUNG LOK GOVERNMENT SECONDARY SCHOOL","觀塘功樂官立中學"
"KWUN TONG MARYKNOLL COLLEGE","觀塘瑪利諾書院"
"KWUN TONG METHODIST KINDERGARTEN","觀塘循道幼稚園"
"LA PETITE ENFANCE KINDERGARTEN","LA PETITE ENFANCE 幼稚園"
"LA SALLE COLLEGE","喇沙書院"
"LA SALLE PRIMARY SCHOOL","喇沙小學"
"LAI CHACK MIDDLE SCHOOL","麗澤中學"
"LAI KING CATHOLIC SECONDARY SCHOOL","荔景天主教中學"
"LAI KING RHENISH NURSERY","禮賢會荔景幼稚園"
"LAICHIKOK CATHOLIC PRIMARY SCHOOL","荔枝角天主教小學"
"LAM TAI FAI COLLEGE","林大輝中學"
"LAM TIN LING LIANG KINDERGARTEN","藍田靈糧幼稚園"
"LAM TIN METHODIST PRIMARY SCHOOL","藍田循道衛理小學"
"LAM TSUEN PUBLIC WONG FOOK LUEN MEMORIAL SCHOOL","林村公立黃福鑾紀念學校"
"LANTAU INTERNATIONAL SCHOOL","大嶼山國際學校"
"LAW TING PONG SECONDARY SCHOOL","羅定邦中學"
"LEAPFROG KINDERGARTEN","蛙跳幼稚園"
"LEARNING HABITAT KINDERGARTEN","學之園幼稚園"
"LEARNING HABITAT KINDERGARTEN (CHATHAM LV)","學之園幼稚園（昇御海逸）"
"LEARNING HABITAT KINDERGARTEN (DOUBLE COVE)","學之園幼稚園（迎海）"
"LEARNING HABITAT KINDERGARTEN (HAMPTON LOFT)","學之園幼稚園（凱帆薈）"
"LEARNING HABITAT KINDERGARTEN (NOVUM EAST)","學之園幼稚園(君豪峰)"
"LEARNING HABITAT KINDERGARTEN (OLYMPIC)","學之園幼稚園(奧運)"
"LEARNING HABITAT KINDERGARTEN (PAPILLONS LP)","學之園幼稚園(海翩康城)"
"LEARNING HABITAT KINDERGARTEN (THE SPARKLE)","學之園幼稚園(星匯居)"
"LEE CHI TAT MEMORIAL SCHOOL","李志達紀念學校"
"LEE KAU YAN MEMORIAL SCHOOL","李求恩紀念中學"
"LEI MUK SHUE CATHOLIC PRIMARY SCHOOL","梨木樹天主教小學"
"LEI TUNG LUTHERAN DAY NURSERY","路德會利東幼稚園"
"LEI YUE MUN METHODIST KINDERGARTEN","鯉魚門循道衞理幼稚園"
"LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL","LES PETITS LASCARS 法國國際幼稚園"
"LEUNG KING LUTHERAN DAY NURSERY","路德會良景幼稚園"
"LEUNG KUI KAU LUTHERAN PRIMARY SCHOOL","路德會梁鉅鏐小學"
"LEUNG SHEK CHEE COLLEGE","梁式芝書院"
"LI CHENG UK GOVERNMENT PRIMARY SCHOOL","李鄭屋官立小學"
